row_id,severity,reason_code,detector,message,evidence,recommended_action,anomaly_score,country,region,category,time_period,total
347,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,log1p_total=8.033; quarter=3.000; program_for_results_share=0.649,"Review component mix, period changes, and supporting source records.",0.6712688075268599,Nigeria,WESTERN AND CENTRAL AFRICA,Commitments,2025-Q3,3080.0
1158,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,quarter=3.000; log1p_total=1.099; others_share=1.000,"Review component mix, period changes, and supporting source records.",0.6663661497391962,MIGA,OTHER,Commitments,2025-Q3,2.0
3238,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,relative_change=5.500; year_over_year_change=5.500; quarter=4.000,"Review component mix, period changes, and supporting source records.",0.6656367985274401,Guyana,LATIN AMERICA AND CARIBBEAN,Gross Disbursements,FY19,39.0
192,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,log1p_total=3.829; quarter=3.000; disbursement_commitment_ratio=2.644,"Review component mix, period changes, and supporting source records.",0.6652630169998477,"Gambia, The",WESTERN AND CENTRAL AFRICA,Commitments,2026-Q3,45.0
2412,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,relative_change=16.333; year_over_year_change=16.333; quarter=4.000,"Review component mix, period changes, and supporting source records.",0.6644981796435155,Myanmar,EAST ASIA AND PACIFIC,Gross Disbursements,FY15,52.0
41,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,log1p_total=6.648; quarter=3.000; disbursement_commitment_ratio=1.194,"Review component mix, period changes, and supporting source records.",0.6617253227270579,Tanzania,EASTERN AND SOUTHERN AFRICA,Commitments,2026-Q3,770.0
640,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,disbursement_commitment_ratio=6.036; log1p_total=4.431; quarter=4.000,"Review component mix, period changes, and supporting source records.",0.6606934370376548,India,SOUTH ASIA,Commitments,FY22,83.0
2226,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,relative_change=14.821; year_over_year_change=14.821; log1p_total=6.096,"Review component mix, period changes, and supporting source records.",0.6545691138836554,Eastern Africa,AFRICA EAST,Commitments,FY20,443.0
1697,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,quarter=4.000; log1p_total=1.386; program_for_results_share=1.000,"Review component mix, period changes, and supporting source records.",0.6531640877905942,Bhutan,SOUTH ASIA,Gross Disbursements,FY25,3.0
634,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,log1p_total=6.188; quarter=4.000; others_share=1.000,"Review component mix, period changes, and supporting source records.",0.6514444676548978,IFC,OTHER,Commitments,FY22,486.0
